"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"nlme","nlme","C:/Program Files/Microsoft/R Open/R-3.5.3/library","3.1-137","recommended","R (>= 3.4.0)","graphics, stats, utils, lattice",NA,"Hmisc, MASS",NA,"GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","3.5.3"
"nnet","nnet","C:/Program Files/Microsoft/R Open/R-3.5.3/library","7.3-12","recommended","R (>= 2.14.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"parallel","parallel","C:/Program Files/Microsoft/R Open/R-3.5.3/library","3.5.3","base",NA,"tools, compiler",NA,"methods","snow, nws, Rmpi","Part of R 3.5.3",NA,NA,NA,NA,"yes","3.5.3"
"png","png","C:/Program Files/Microsoft/R Open/R-3.5.3/library","0.1-7",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"R6","R6","C:/Program Files/Microsoft/R Open/R-3.5.3/library","2.3.0",NA,"R (>= 3.0)",NA,NA,"knitr, microbenchmark, pryr, testthat, ggplot2, scales",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"RevoIOQ","RevoIOQ","C:/Program Files/Microsoft/R Open/R-3.5.3/library","10.0.1",NA,"R (>= 2.6.2), RUnit (>= 0.4.26), tools",NA,NA,"RevoUtils",NA,"GPL-2",NA,NA,NA,NA,NA,"3.5.3"
"RevoMods","RevoMods","C:/Program Files/Microsoft/R Open/R-3.5.3/library","11.0.1",NA,"R (>= 2.6.2)",NA,NA,NA,"rpart","GPL-2",NA,NA,NA,NA,NA,"3.5.3"
"RevoUtils","RevoUtils","C:/Program Files/Microsoft/R Open/R-3.5.3/library","11.0.3",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.5.3"
"RevoUtilsMath","RevoUtilsMath","C:/Program Files/Microsoft/R Open/R-3.5.3/library","11.0.0",NA,NA,NA,NA,NA,NA,"file LICENSE",NA,NA,NA,NA,NA,"3.5.3"
"RODBC","RODBC","C:/Program Files/Microsoft/R Open/R-3.5.3/library","1.3-15",NA,"R (>= 3.0.0)","stats",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"rpart","rpart","C:/Program Files/Microsoft/R Open/R-3.5.3/library","4.1-13","recommended","R (>= 2.15.0), graphics, stats, grDevices",NA,NA,"survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"RUnit","RUnit","C:/Program Files/Microsoft/R Open/R-3.5.3/library","0.4.26",NA,"R (>= 2.5.0), utils (>= 2.5.0), methods (>= 2.5.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.5.3"
"spatial","spatial","C:/Program Files/Microsoft/R Open/R-3.5.3/library","7.3-11","recommended","R (>= 3.0.0), graphics, stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"splines","splines","C:/Program Files/Microsoft/R Open/R-3.5.3/library","3.5.3","base",NA,"graphics, stats",NA,"Matrix, methods",NA,"Part of R 3.5.3",NA,NA,NA,NA,"yes","3.5.3"
"stats","stats","C:/Program Files/Microsoft/R Open/R-3.5.3/library","3.5.3","base",NA,"utils, grDevices, graphics",NA,"MASS, Matrix, SuppDists, methods, stats4",NA,"Part of R 3.5.3",NA,NA,NA,NA,"yes","3.5.3"
"stats4","stats4","C:/Program Files/Microsoft/R Open/R-3.5.3/library","3.5.3","base",NA,"graphics, methods, stats",NA,NA,NA,"Part of R 3.5.3",NA,NA,NA,NA,NA,"3.5.3"
"survival","survival","C:/Program Files/Microsoft/R Open/R-3.5.3/library","2.43-3","recommended","R (>= 2.13.0)","graphics, Matrix, methods, splines, stats, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"tcltk","tcltk","C:/Program Files/Microsoft/R Open/R-3.5.3/library","3.5.3","base",NA,"utils",NA,NA,NA,"Part of R 3.5.3",NA,NA,NA,NA,"yes","3.5.3"
"tools","tools","C:/Program Files/Microsoft/R Open/R-3.5.3/library","3.5.3","base",NA,NA,NA,"codetools, methods, xml2, curl",NA,"Part of R 3.5.3",NA,NA,NA,NA,"yes","3.5.3"
"translations","translations","C:/Program Files/Microsoft/R Open/R-3.5.3/library","3.5.3",NA,NA,NA,NA,NA,NA,"Part of R 3.5.3",NA,NA,NA,NA,NA,"3.5.3"
"utils","utils","C:/Program Files/Microsoft/R Open/R-3.5.3/library","3.5.3","base",NA,NA,NA,"methods, xml2, commonmark",NA,"Part of R 3.5.3",NA,NA,NA,NA,"yes","3.5.3"
